,Symbol,Description,Sector,MarketCap,Beta,PERatio,EPS,EVToRevenue,ROE,ProfitMargin,PriceToBook,AverageStockPrice
0,WAB,"Wabtec Corporation (derived from Westinghouse Air Brake Technologies Corporation) is an American company formed by the merger of the Westinghouse Air Brake Company (WABCO) and MotivePower Industries Corporation in 1999. It is headquartered in Pittsburgh, Pennsylvania.",MANUFACTURING,16989503000,1.632,36.93,2.409,2.651,0.0453,0.0586,1.673,73.42
1,WMT,"Walmart Inc. is an American multinational retail corporation that operates a chain of hypermarkets, discount department stores, and grocery stores from the United States, headquartered in Bentonville, Arkansas. It also owns and operates Sam's Club retail warehouses.",TRADE & SERVICES,391200079000,0.524,48.86,2.84,0.756,0.0931,0.014,4.755,135.05
2,WBA,"Walgreens Boots Alliance, Inc. is an American pharmaceuticals holding company headquartered in Deerfield, Illinois. It owns the pharmacy chains Walgreens and Boots, as well as several pharmaceutical manufacturing, wholesale, and distribution companies.",TRADE & SERVICES,42765271000,0.508,16.69,2.933,0.566,0.0864,0.0192,1.826,46.37
3,DIS,"The Walt Disney Company, commonly known as Disney, is an American diversified multinational mass media and entertainment conglomerate headquartered at the Walt Disney Studios complex in Burbank, California.",TRADE & SERVICES,277574240000,1.189,135.98,1.094,4.735,0.0254,0.0296,3.135,151.04
4,WM,"Waste Management, Inc. is an American waste management, comprehensive waste, and environmental services company in North America. Founded in 1968, the company is headquartered 800 Capitol in Houston, Texas.",ENERGY & TRANSPORTATION,68905070000,0.83,39.15,4.12,4.725,0.244,0.101,9.61,123.82
5,WAT,"Waters Corporation is a publicly traded Analytical Laboratory instrument and software company headquartered in Milford, Massachusetts.",LIFE SCIENCES,20810926000,0.84,31.21,11.16,7.99,547.95,0.254,70.49,265.95
6,WEC,"WEC Energy Group, based in Milwaukee, Wisconsin, provides electricity and natural gas to 4.4 million customers across four states.",ENERGY & TRANSPORTATION,29486820000,0.23,23.2,4.15,5.49,0.121,0.163,2.703,92.91
7,WFC,"Wells Fargo & Company is an American multinational financial services company with corporate headquarters in San Francisco, California, operational headquarters in Manhattan, and managerial offices throughout the United States and overseas.",FINANCE,200159075000,1.314,11.44,4.192,-,0.107,0.241,1.186,36.54
8,WELL,Welltower Inc. is a real estate investment trust that invests in healthcare infrastructure.,REAL ESTATE & CONSTRUCTION,36001556000,1.007,80.39,1.035,11.02,0.0261,0.0969,2.135,68.3
9,WST,"West Pharmaceutical Services, Inc. is a designer and manufacturer of injectable pharmaceutical packaging and delivery systems. The company is headquartered in Exton, Pennsylvania.",MANUFACTURING,31970583000,0.969,55.79,8.06,11.79,0.312,0.229,14.52,285.63
10,WDC,"Western Digital Corporation (WDC, commonly known as Western Digital or WD) is an American computer hard disk drive manufacturer and data storage company, headquartered in San Jose, California. It designs, manufactures and sells data technology products, including storage devices, data center systems and cloud storage services.",TECHNOLOGY,18033618000,1.524,11.89,4.78,1.289,0.142,0.0826,1.587,54.6
11,WU,"The Western Union Company is an American worldwide financial services and communications company, headquartered in Denver, Colorado.",TRADE & SERVICES,7320541000,0.947,8.83,1.969,1.813,373.7,0.161,19.86,22.6
12,WRK,"WestRock is an American corrugated packaging company headquartered in Sandy Springs, Georgia.",MANUFACTURING,11559367000,1.194,14.04,3.13,1.038,0.0754,0.0447,0.991,41.96
13,WY,"Weyerhaeuser Company is an American timberland company which owns nearly 12,400,000 acres of timberlands in the U.S. and manages an additional 14,000,000 acres timberlands under long-term licenses in Canada. The company also manufactures wood products. Weyerhaeuser is a real estate investment trust.",REAL ESTATE & CONSTRUCTION,29976781000,1.741,11.97,3.311,3.273,0.263,0.247,2.891,30.55
14,WHR,"The Whirlpool Corporation is an American multinational manufacturer and marketer of home appliances, headquartered in Benton Charter Township, Michigan, United States.",MANUFACTURING,13972732000,1.75,7.35,31.35,0.782,0.428,0.0906,2.815,181.32
